kabupaten_kota,Garis_Kemiskinan,Indeks_Pembangunan_Manusia,Persen_Penduduk_Miskin,Tingkat Pengangguran Terbuka,Upah Minimum,Jumlah Penduduk (Ribu),Laju Pertumbuhan Penduduk per Tahun,Persentase Penduduk,Kepadatan Penduduk per km persegi (Km2),Rasio Jenis Kelamin Penduduk,tahun,kuartal,PDRB,Proksi Inflasi,Laju_Inflasi,Gini_Ratio,investasi_per_kapita,Jumlah Perusahaan Kecil,Composite_Risk_Score_Normalized
KOTA KEDIRI,621051.0,81.88,6.51,3.91,2572361.0,298.2,1.05,0.71,4436.0,100.6,2024,3.0,23709.61,Kota Kediri,0.88,0.337,1384.736046506261,73,-0.4367074822287112
KOTA MADIUN,637838.0,84.51,4.38,4.3,2422105.0,201.8,0.89,0.48,5585.0,95.9,2024,3.0,3102.94,Kota Madiun,1.22,0.435,193.93145478349425,36,-0.3752610361790767
KOTA MALANG,706341.0,84.68,3.91,6.1,3507693.0,872.7,0.9,2.09,7857.0,98.8,2024,3.0,15960.07,Kota Malang,1.62,0.422,178.79243657243717,330,-1.5902660584801394
KOTA MOJOKERTO,610968.0,81.76,5.57,3.76,3031000.0,137.4,0.99,0.33,6796.0,98.2,2024,3.0,1422.7,Kota Surabaya,1.65,0.357,297.1879310319208,138,-0.31526968219295304
KOTA PASURUAN,554195.0,78.9,6.32,4.63,3358557.0,219.4,1.43,0.52,5626.0,100.1,2024,3.0,1769.27,Kota Malang,1.62,0.334,23.6961904759648,166,-0.2665619016281429
KOTA PROBOLINGGO,654409.0,77.79,6.18,4.44,2876657.0,249.5,1.09,0.6,4564.0,98.6,2024,3.0,2521.47,Kota Malang,1.62,0.344,429.8620155005437,54,-0.19834281786815514
LAMONGAN,524636.0,75.9,12.16,4.34,3012164.0,1378.2,0.67,3.3,786.0,100.0,2024,3.0,8193.0,Kota Surabaya,1.65,0.281,175.79248585569732,148,-0.05642032427054829
LUMAJANG,405136.0,70.31,8.65,3.28,2429764.0,1145.9,0.63,2.74,638.0,97.8,2024,3.0,6717.55,Kabupaten Jember,1.56,0.363,79.76674008801787,33,0.5333111187921137
MADIUN,460205.0,74.81,10.63,4.34,2400321.0,757.8,0.48,1.81,681.0,97.9,2024,3.0,4185.51,Kota Madiun,1.22,0.309,70.99211045362891,93,0.591225860430564
MAGETAN,455119.0,76.77,9.32,3.28,2406719.0,685.5,0.58,1.64,970.0,96.8,2024,3.0,3932.79,Kota Madiun,1.22,0.371,192.6693333320489,21,0.5152971189963829
MALANG,420334.0,73.53,8.98,5.13,3553530.0,2736.0,0.81,6.54,788.0,101.1,2024,3.0,20133.31,Kota Malang,1.62,0.343,414.5558993180836,167,-0.9601243213051094
MOJOKERTO,508618.0,76.69,9.37,3.87,4856026.0,1154.3,0.83,2.76,1172.0,101.1,2024,3.0,18092.81,Kota Surabaya,1.65,0.337,448.1982970295255,33,-0.778314011357605
NGANJUK,539714.0,75.24,10.17,3.87,2405255.0,1131.8,0.67,2.71,878.0,101.0,2024,3.0,5609.38,Kota Kediri,0.88,0.289,26.227724008737702,58,0.19147777868118937
NGAWI,445865.0,73.91,13.81,2.4,2397928.0,884.1,0.43,2.11,633.0,98.1,2024,3.0,4136.15,Kota Madiun,1.22,0.289,1438.7587982801742,30,0.8081788891717184
PACITAN,370643.0,71.49,13.08,1.56,2364287.0,588.6,0.11,1.41,411.0,100.8,2024,3.0,3348.53,Kota Madiun,1.22,0.327,364.111904759015,20,1.1057906119708327
PAMEKASAN,467493.0,70.85,13.41,1.64,2376614.0,884.7,1.07,2.12,1113.0,96.8,2024,3.0,3355.56,Kabupaten Sumenep,2.45,0.301,582.659459443712,45,0.8459744810327162
PASURUAN,450088.0,72.36,8.63,5.02,4866890.0,1657.2,0.84,3.96,1110.0,100.1,2024,3.0,31684.16,Kota Malang,1.62,0.331,1067.617981927389,67,-0.9920186497115283
PONOROGO,413619.0,73.7,9.11,4.19,2402959.0,962.9,0.38,2.3,679.0,99.3,2024,3.0,4379.51,Kota Madiun,1.22,0.326,99.84526854194414,57,0.5359627113735018
PROBOLINGGO,537724.0,70.85,16.45,3.0,2989407.0,1185.2,0.75,2.83,687.0,97.4,2024,3.0,6948.47,Kota Malang,1.62,0.339,1569.3164613644242,46,0.3004494690272549
SAMPANG,491753.0,66.72,20.83,2.5,2335661.0,1016.3,1.26,2.43,827.0,98.8,2024,3.0,3844.88,Kabupaten Sumenep,2.45,0.233,388000000000.0,13,1.0215512515192744
SIDOARJO,597284.0,82.67,4.53,6.49,4870511.0,2171.5,1.12,5.19,2999.0,101.0,2024,3.0,42903.34,Kota Surabaya,1.65,0.327,410.68510511697633,659,-2.2505935335369873
SITUBONDO,413611.0,71.22,11.51,3.15,2335209.0,700.7,0.57,1.68,424.0,96.6,2024,3.0,4103.86,Kabupaten Jember,1.56,0.385,115.91660026545031,48,0.8241174162878583
SUMENEP,506569.0,69.78,17.78,1.69,2406551.0,1153.2,0.68,2.76,553.0,94.1,2024,3.0,7271.07,Kabupaten Sumenep,2.45,0.308,335.979999932804,30,0.8234618175276698
SURABAYA,742678.0,84.69,3.96,4.91,4961753.0,2922.0,0.44,6.99,8698.0,98.0,2024,3.0,122577.33,Kota Surabaya,1.65,0.381,723.2747715590574,2149,-4.175034674954733
TRENGGALEK,434146.0,72.47,10.5,3.9,2378784.0,744.5,0.49,1.78,596.0,100.5,2024,3.0,3859.56,Kota Kediri,0.88,0.35,77.82799999688689,19,0.6118049106447779
TUBAN,488131.0,72.31,14.36,4.28,3050400.0,1225.2,0.6,2.93,621.0,99.7,2024,3.0,12967.71,Kota Surabaya,1.65,0.335,571.5128413709638,97,0.08518589321880325
TULUNGAGUNG,447793.0,75.13,6.28,4.12,2470800.0,1113.9,0.58,2.66,973.0,100.1,2024,3.0,8242.93,Kota Kediri,0.88,0.321,49.149315068418346,91,0.20175918511374097
BANGKALAN,547017.0,67.33,18.66,5.35,2397550.0,1102.5,1.04,2.64,847.0,97.7,2024,4.0,4239.63,Kota Surabaya,"1,38",0.301,417.6522387997365,37,0.5451043396929628
BANYUWANGI,470713.0,74.3,6.54,4.03,2810139.0,1754.4,0.72,4.2,488.0,100.0,2024,4.0,16248.16,Kabupaten Banyuwangi,"1,73",0.312,1619.6897163101423,371,-0.2534144780585681
BATU,642778.0,79.69,3.06,3.63,3360466.0,222.7,1.19,0.53,1147.0,101.3,2024,4.0,3432.45,Kota Malang,"1,36",0.327,62.73262786592432,93,-0.21425516133045963
BLITAR,408399.0,73.44,8.16,4.77,2413974.0,1263.7,0.86,3.02,724.0,101.1,2024,4.0,7265.78,Kota Kediri,"1,19",0.353,304.444848483926,107,0.19615319373224407
BOJONEGORO,471457.0,72.75,11.69,4.42,2525132.0,1325.3,0.48,3.17,573.0,100.6,2024,4.0,16230.99,Kota Surabaya,"1,38",0.31,18.182910030125623,249,0.13769623449790125
BONDOWOSO,517741.0,71.22,12.6,3.63,2347359.0,792.3,0.55,1.89,510.0,97.3,2024,4.0,3921.13,Kabupaten Jember,"1,74",0.333,1797.474117625912,68,0.6452131252352464
GRESIK,608828.0,78.93,10.32,6.45,4874133.0,1364.0,1.06,3.26,1086.0,101.4,2024,4.0,29980.19,Kota Surabaya,"1,38",0.322,1890.3408026750585,878,-1.4118538129999858
JEMBER,459043.0,70.93,9.01,3.23,2838642.0,2603.8,0.7,6.23,786.0,99.3,2024,4.0,15413.74,Kabupaten Jember,"1,74",0.321,46.04199346404545,420,-0.43205462113687254
JOMBANG,514170.0,75.67,8.6,3.75,3137004.0,1362.7,0.89,3.26,1228.0,101.6,2024,4.0,8140.03,Kota Surabaya,"1,38",0.302,118.63021227097452,227,-0.21070815790832453
KEDIRI,403621.0,75.18,9.95,5.1,2492811.0,1689.9,0.88,4.04,1109.0,101.9,2024,4.0,8526.02,Kota Kediri,"1,19",0.3,1046.4273458416988,301,-0.00848141577385064
KOTA BLITAR,596105.0,81.44,6.75,5.11,2481450.0,154.9,1.02,0.37,4664.0,98.5,2024,4.0,1455.33,Kota Kediri,"1,19",0.353,420.9527638169801,111,-0.0647921184919936
KOTA KEDIRI,621051.0,81.88,6.51,3.91,2572361.0,298.2,1.05,0.71,4436.0,100.6,2024,4.0,23879.83,Kota Kediri,"1,19",0.337,145.86181474452576,196,-0.43883722732963104
KOTA MADIUN,637838.0,84.51,4.38,4.3,2422105.0,201.8,0.89,0.48,5585.0,95.9,2024,4.0,3199.0,Kota Madiun,"1,31",0.435,301.98839285646875,112,-0.3764629120829423
KOTA MALANG,706341.0,84.68,3.91,6.1,3507693.0,872.7,0.9,2.09,7857.0,98.8,2024,4.0,16262.97,Kota Malang,"1,36",0.422,339.62137168126566,774,-1.5940558587199292
KOTA MOJOKERTO,610968.0,81.76,5.57,3.76,3031000.0,137.4,0.99,0.33,6796.0,98.2,2024,4.0,1448.16,Kota Surabaya,"1,38",0.357,501.05436893041735,393,-0.31558823060803426
KOTA PASURUAN,554195.0,78.9,6.32,4.63,3358557.0,219.4,1.43,0.52,5626.0,100.1,2024,4.0,1805.22,Kota Malang,"1,36",0.334,50.4336283184353,432,-0.2670116979921361
KOTA PROBOLINGGO,654409.0,77.79,6.18,4.44,2876657.0,249.5,1.09,0.6,4564.0,98.6,2024,4.0,2542.97,Kota Malang,"1,36",0.344,143.1781538457133,57,-0.1986118198617713
LAMONGAN,524636.0,75.9,12.16,4.34,3012164.0,1378.2,0.67,3.3,786.0,100.0,2024,4.0,7564.02,Kota Surabaya,"1,38",0.281,636.5062913904943,297,-0.048550702113446184
LUMAJANG,405136.0,70.31,8.65,3.28,2429764.0,1145.9,0.63,2.74,638.0,97.8,2024,4.0,6446.52,Kabupaten Jember,"1,74",0.363,339.32718893957093,84,0.5367021704832505
MADIUN,460205.0,74.81,10.63,4.34,2400321.0,757.8,0.48,1.81,681.0,97.9,2024,4.0,3940.64,Kota Madiun,"1,31",0.309,27.57925944457654,190,0.594289605509279
MAGETAN,455119.0,76.77,9.32,3.28,2406719.0,685.5,0.58,1.64,970.0,96.8,2024,4.0,3845.18,Kota Madiun,"1,31",0.371,41.21499999982827,73,0.5163932708599079
MALANG,420334.0,73.53,8.98,5.13,3553530.0,2736.0,0.81,6.54,788.0,101.1,2024,4.0,20199.32,Kota Malang,"1,36",0.343,358.8063281823551,459,-0.9609502199958846
MOJOKERTO,508618.0,76.69,9.37,3.87,4856026.0,1154.3,0.83,2.76,1172.0,101.1,2024,4.0,17631.78,Kota Surabaya,"1,38",0.337,182.54677754674304,80,-0.77254573270247
NGANJUK,539714.0,75.24,10.17,3.87,2405255.0,1131.8,0.67,2.71,878.0,101.0,2024,4.0,5155.99,Kota Kediri,"1,19",0.289,67.95998830066277,136,0.19715046778484296
NGAWI,445865.0,73.91,13.81,2.4,2397928.0,884.1,0.43,2.11,633.0,98.1,2024,4.0,4079.55,Kota Madiun,"1,31",0.289,516.0785612531937,97,0.8088870525835119
PACITAN,370643.0,71.49,13.08,1.56,2364287.0,588.6,0.11,1.41,411.0,100.8,2024,4.0,3101.49,Kota Madiun,"1,31",0.327,168.0447983011294,63,1.1088815074859142
PAMEKASAN,467493.0,70.85,13.41,1.64,2376614.0,884.7,1.07,2.12,1113.0,96.8,2024,4.0,3207.8,Kabupaten Sumenep,"1,97",0.301,89.29999999810002,123,0.8478232129086674
PASURUAN,450088.0,72.36,8.63,5.02,4866890.0,1657.2,0.84,3.96,1110.0,100.1,2024,4.0,32265.17,Kota Malang,"1,36",0.331,413.3977890010759,139,-0.9992880846179555
PONOROGO,413619.0,73.7,9.11,4.19,2402959.0,962.9,0.38,2.3,679.0,99.3,2024,4.0,4008.84,Kota Madiun,"1,31",0.326,340.8343434309006,183,0.5406004309277753
PROBOLINGGO,537724.0,70.85,16.45,3.0,2989407.0,1185.2,0.75,2.83,687.0,97.4,2024,4.0,6719.65,Kota Malang,"1,36",0.339,6953.092613616611,113,0.303312400909266
SAMPANG,491753.0,66.72,20.83,2.5,2335661.0,1016.3,1.26,2.43,827.0,98.8,2024,4.0,3502.73,Kabupaten Sumenep,"1,97",0.233,1768699999999.9998,32,1.006119916315188
SIDOARJO,597284.0,82.67,4.53,6.49,4870511.0,2171.5,1.12,5.19,2999.0,101.0,2024,4.0,43079.94,Kota Surabaya,"1,38",0.327,346.5872958949835,1775,-2.2528031034335347
SITUBONDO,413611.0,71.22,11.51,3.15,2335209.0,700.7,0.57,1.68,424.0,96.6,2024,4.0,3813.47,Kabupaten Jember,"1,74",0.385,653.653999986927,88,0.8277506948901702
SUMENEP,506569.0,69.78,17.78,1.69,2406551.0,1153.2,0.68,2.76,553.0,94.1,2024,4.0,6473.85,Kabupaten Sumenep,"1,97",0.308,1017.6928570701648,85,0.833436411592993
SURABAYA,742678.0,84.69,3.96,4.91,4961753.0,2922.0,0.44,6.99,8698.0,98.0,2024,4.0,124309.99,Kota Surabaya,"1,38",0.381,718.4866219760304,4888,-4.196713233157027
TRENGGALEK,434146.0,72.47,10.5,3.9,2378784.0,744.5,0.49,1.78,596.0,100.5,2024,4.0,3800.46,Kota Kediri,"1,19",0.35,19.74895833323048,60,0.6125443533462869
TUBAN,488131.0,72.31,14.36,4.28,3050400.0,1225.2,0.6,2.93,621.0,99.7,2024,4.0,13378.65,Kota Surabaya,"1,38",0.335,2989.478439418913,232,0.08004432662899805
TULUNGAGUNG,447793.0,75.13,6.28,4.12,2470800.0,1113.9,0.58,2.66,973.0,100.1,2024,4.0,7918.2,Kota Kediri,"1,19",0.321,69.0583941603319,191,0.2058221162165311
