Nama_Kabupaten_Kota,Garis_Kemiskinan_2024,Indeks_Pembangunan_Manusia,Persen_Penduduk_Miskin,Tingkat Pengangguran Terbuka,Upah Minimum,Jumlah Penduduk (Ribu),Laju Pertumbuhan Penduduk per Tahun,Persentase Penduduk,Kepadatan Penduduk per km persegi (Km2),Rasio Jenis Kelamin Penduduk,Tahun,Kuartal,PDRB,Proksi Inflasi,Laju_Inflasi
Kabupaten Sumenep,506569,69.78,17.78,1.69,2406551.0,1153.2,0.68,2.76,553.0,94.1,2024,1,6522.73,Kabupaten Sumenep,4.68
Kabupaten Sumenep,506569,69.78,17.78,1.69,2406551.0,1153.2,0.68,2.76,553.0,94.1,2024,2,6966.74,Kabupaten Sumenep,3.24
Kabupaten Sumenep,506569,69.78,17.78,1.69,2406551.0,1153.2,0.68,2.76,553.0,94.1,2024,3,7271.07,Kabupaten Sumenep,2.45
Kabupaten Sumenep,506569,69.78,17.78,1.69,2406551.0,1153.2,0.68,2.76,553.0,94.1,2024,4,6473.85,Kabupaten Sumenep,"1,97"
Kota Kediri,621051,81.88,6.51,3.91,2572361.0,298.2,1.05,0.71,4436.0,100.6,2024,1,24043.69,Kota Kediri,2.88
Kota Kediri,621051,81.88,6.51,3.91,2572361.0,298.2,1.05,0.71,4436.0,100.6,2024,2,23140.95,Kota Kediri,1.72
Kota Kediri,621051,81.88,6.51,3.91,2572361.0,298.2,1.05,0.71,4436.0,100.6,2024,3,23709.61,Kota Kediri,0.88
Kota Kediri,621051,81.88,6.51,3.91,2572361.0,298.2,1.05,0.71,4436.0,100.6,2024,4,23879.83,Kota Kediri,"1,19"
Kota Blitar,596105,81.44,6.75,5.11,2481450.0,154.9,1.02,0.37,4664.0,98.5,2024,1,1395.97,Kota Kediri,2.88
Kota Blitar,596105,81.44,6.75,5.11,2481450.0,154.9,1.02,0.37,4664.0,98.5,2024,2,1446.41,Kota Kediri,1.72
Kota Blitar,596105,81.44,6.75,5.11,2481450.0,154.9,1.02,0.37,4664.0,98.5,2024,3,1448.68,Kota Kediri,0.88
Kota Blitar,596105,81.44,6.75,5.11,2481450.0,154.9,1.02,0.37,4664.0,98.5,2024,4,1455.33,Kota Kediri,"1,19"
Kota Malang,706341,84.68,3.91,6.1,3507693.0,872.7,0.9,2.09,7857.0,98.8,2024,1,15428.14,Kota Malang,2.9
Kota Malang,706341,84.68,3.91,6.1,3507693.0,872.7,0.9,2.09,7857.0,98.8,2024,2,15722.13,Kota Malang,2.02
Kota Malang,706341,84.68,3.91,6.1,3507693.0,872.7,0.9,2.09,7857.0,98.8,2024,3,15960.07,Kota Malang,1.62
Kota Malang,706341,84.68,3.91,6.1,3507693.0,872.7,0.9,2.09,7857.0,98.8,2024,4,16262.97,Kota Malang,"1,36"
Kota Probolinggo,654409,77.79,6.18,4.44,2876657.0,249.5,1.09,0.6,4564.0,98.6,2024,1,2365.56,Kota Malang,2.9
Kota Probolinggo,654409,77.79,6.18,4.44,2876657.0,249.5,1.09,0.6,4564.0,98.6,2024,2,2463.27,Kota Malang,2.02
Kota Probolinggo,654409,77.79,6.18,4.44,2876657.0,249.5,1.09,0.6,4564.0,98.6,2024,3,2521.47,Kota Malang,1.62
Kota Probolinggo,654409,77.79,6.18,4.44,2876657.0,249.5,1.09,0.6,4564.0,98.6,2024,4,2542.97,Kota Malang,"1,36"
Kota Pasuruan,554195,78.9,6.32,4.63,3358557.0,219.4,1.43,0.52,5626.0,100.1,2024,1,1706.63,Kota Malang,2.9
Kota Pasuruan,554195,78.9,6.32,4.63,3358557.0,219.4,1.43,0.52,5626.0,100.1,2024,2,1717.62,Kota Malang,2.02
Kota Pasuruan,554195,78.9,6.32,4.63,3358557.0,219.4,1.43,0.52,5626.0,100.1,2024,3,1769.27,Kota Malang,1.62
Kota Pasuruan,554195,78.9,6.32,4.63,3358557.0,219.4,1.43,0.52,5626.0,100.1,2024,4,1805.22,Kota Malang,"1,36"
Kota Mojokerto,610968,81.76,5.57,3.76,3031000.0,137.4,0.99,0.33,6796.0,98.2,2024,1,1391.57,Kota Surabaya,2.99
Kota Mojokerto,610968,81.76,5.57,3.76,3031000.0,137.4,0.99,0.33,6796.0,98.2,2024,2,1424.36,Kota Surabaya,2.35
Kota Mojokerto,610968,81.76,5.57,3.76,3031000.0,137.4,0.99,0.33,6796.0,98.2,2024,3,1422.7,Kota Surabaya,1.65
Kota Mojokerto,610968,81.76,5.57,3.76,3031000.0,137.4,0.99,0.33,6796.0,98.2,2024,4,1448.16,Kota Surabaya,"1,38"
Kota Madiun,637838,84.51,4.38,4.3,2422105.0,201.8,0.89,0.48,5585.0,95.9,2024,1,3058.81,Kota Madiun,3.05
Kota Madiun,637838,84.51,4.38,4.3,2422105.0,201.8,0.89,0.48,5585.0,95.9,2024,2,3078.16,Kota Madiun,1.85
Kota Madiun,637838,84.51,4.38,4.3,2422105.0,201.8,0.89,0.48,5585.0,95.9,2024,3,3102.94,Kota Madiun,1.22
Kota Madiun,637838,84.51,4.38,4.3,2422105.0,201.8,0.89,0.48,5585.0,95.9,2024,4,3199,Kota Madiun,"1,31"
Kota Surabaya,742678,84.69,3.96,4.91,4961753.0,2922.0,0.44,6.99,8698.0,98.0,2024,1,118510.36,Kota Surabaya,2.99
Kota Surabaya,742678,84.69,3.96,4.91,4961753.0,2922.0,0.44,6.99,8698.0,98.0,2024,2,120051.21,Kota Surabaya,2.35
Kota Surabaya,742678,84.69,3.96,4.91,4961753.0,2922.0,0.44,6.99,8698.0,98.0,2024,3,122577.33,Kota Surabaya,1.65
Kota Surabaya,742678,84.69,3.96,4.91,4961753.0,2922.0,0.44,6.99,8698.0,98.0,2024,4,124309.99,Kota Surabaya,"1,38"
Kota Batu,642778,79.69,3.06,3.63,3360466.0,222.7,1.19,0.53,1147.0,101.3,2024,1,3270.35,Kota Malang,2.9
Kota Batu,642778,79.69,3.06,3.63,3360466.0,222.7,1.19,0.53,1147.0,101.3,2024,2,3457.79,Kota Malang,2.02
Kota Batu,642778,79.69,3.06,3.63,3360466.0,222.7,1.19,0.53,1147.0,101.3,2024,3,3427.55,Kota Malang,1.62
Kota Batu,642778,79.69,3.06,3.63,3360466.0,222.7,1.19,0.53,1147.0,101.3,2024,4,3432.45,Kota Malang,"1,36"
