id,id_index,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,modal_usaha__triliun_rp_,periode_update,satuan,tahun
189,189189,35,JAWA TIMUR,3574,KOTA PROBOLINGGO,"0,02",2024-Q1,TRILIUN RUPIAH,2024
190,190190,35,JAWA TIMUR,3578,KOTA SURABAYA,"0,67",2024-Q1,TRILIUN RUPIAH,2024
191,191191,35,JAWA TIMUR,3526,KABUPATEN BANGKALAN,"0,03",2024-Q2,TRILIUN RUPIAH,2024
192,192192,35,JAWA TIMUR,3510,KABUPATEN BANYUWANGI,"0,10",2024-Q2,TRILIUN RUPIAH,2024
193,193193,35,JAWA TIMUR,3505,KABUPATEN BLITAR,"0,03",2024-Q2,TRILIUN RUPIAH,2024
194,194194,35,JAWA TIMUR,3522,KABUPATEN BOJONEGORO,"0,04",2024-Q2,TRILIUN RUPIAH,2024
195,195195,35,JAWA TIMUR,3511,KABUPATEN BONDOWOSO,"0,01",2024-Q2,TRILIUN RUPIAH,2024
196,196196,35,JAWA TIMUR,3525,KABUPATEN GRESIK,"0,10",2024-Q2,TRILIUN RUPIAH,2024
197,197197,35,JAWA TIMUR,3509,KABUPATEN JEMBER,"0,09",2024-Q2,TRILIUN RUPIAH,2024
198,198198,35,JAWA TIMUR,3517,KABUPATEN JOMBANG,"0,05",2024-Q2,TRILIUN RUPIAH,2024
199,199199,35,JAWA TIMUR,3506,KABUPATEN KEDIRI,"0,06",2024-Q2,TRILIUN RUPIAH,2024
200,200200,35,JAWA TIMUR,3524,KABUPATEN LAMONGAN,"0,02",2024-Q2,TRILIUN RUPIAH,2024
201,201201,35,JAWA TIMUR,3508,KABUPATEN LUMAJANG,"0,05",2024-Q2,TRILIUN RUPIAH,2024
202,202202,35,JAWA TIMUR,3519,KABUPATEN MADIUN,"0,05",2024-Q2,TRILIUN RUPIAH,2024
203,203203,35,JAWA TIMUR,3520,KABUPATEN MAGETAN,"0,03",2024-Q2,TRILIUN RUPIAH,2024
204,204204,35,JAWA TIMUR,3507,KABUPATEN MALANG,"0,14",2024-Q2,TRILIUN RUPIAH,2024
205,205205,35,JAWA TIMUR,3516,KABUPATEN MOJOKERTO,"0,07",2024-Q2,TRILIUN RUPIAH,2024
206,206206,35,JAWA TIMUR,3518,KABUPATEN NGANJUK,"0,02",2024-Q2,TRILIUN RUPIAH,2024
207,207207,35,JAWA TIMUR,3521,KABUPATEN NGAWI,"0,02",2024-Q2,TRILIUN RUPIAH,2024
208,208208,35,JAWA TIMUR,3501,KABUPATEN PACITAN,"0,02",2024-Q2,TRILIUN RUPIAH,2024
209,209209,35,JAWA TIMUR,3528,KABUPATEN PAMEKASAN,"0,05",2024-Q2,TRILIUN RUPIAH,2024
210,210210,35,JAWA TIMUR,3514,KABUPATEN PASURUAN,"0,11",2024-Q2,TRILIUN RUPIAH,2024
211,211211,35,JAWA TIMUR,3502,KABUPATEN PONOROGO,"0,03",2024-Q2,TRILIUN RUPIAH,2024
212,212212,35,JAWA TIMUR,3513,KABUPATEN PROBOLINGGO,"0,04",2024-Q2,TRILIUN RUPIAH,2024
213,213213,35,JAWA TIMUR,3527,KABUPATEN SAMPANG,"0,02",2024-Q2,TRILIUN RUPIAH,2024
214,214214,35,JAWA TIMUR,3515,KABUPATEN SIDOARJO,"0,26",2024-Q2,TRILIUN RUPIAH,2024
215,215215,35,JAWA TIMUR,3512,KABUPATEN SITUBONDO,"0,02",2024-Q2,TRILIUN RUPIAH,2024
216,216216,35,JAWA TIMUR,3529,KABUPATEN SUMENEP,"0,04",2024-Q2,TRILIUN RUPIAH,2024
217,217217,35,JAWA TIMUR,3503,KABUPATEN TRENGGALEK,"0,05",2024-Q2,TRILIUN RUPIAH,2024
218,218218,35,JAWA TIMUR,3523,KABUPATEN TUBAN,"0,04",2024-Q2,TRILIUN RUPIAH,2024
219,219219,35,JAWA TIMUR,3504,KABUPATEN TULUNGAGUNG,"0,05",2024-Q2,TRILIUN RUPIAH,2024
220,220220,35,JAWA TIMUR,3579,KOTA BATU,"0,03",2024-Q2,TRILIUN RUPIAH,2024
221,221221,35,JAWA TIMUR,3572,KOTA BLITAR,"0,01",2024-Q2,TRILIUN RUPIAH,2024
222,222222,35,JAWA TIMUR,3571,KOTA KEDIRI,"0,02",2024-Q2,TRILIUN RUPIAH,2024
223,223223,35,JAWA TIMUR,3577,KOTA MADIUN,"0,02",2024-Q2,TRILIUN RUPIAH,2024
224,224224,35,JAWA TIMUR,3573,KOTA MALANG,"0,15",2024-Q2,TRILIUN RUPIAH,2024
225,225225,35,JAWA TIMUR,3576,KOTA MOJOKERTO,"0,01",2024-Q2,TRILIUN RUPIAH,2024
226,226226,35,JAWA TIMUR,3575,KOTA PASURUAN,"0,03",2024-Q2,TRILIUN RUPIAH,2024
227,227227,35,JAWA TIMUR,3574,KOTA PROBOLINGGO,"0,03",2024-Q2,TRILIUN RUPIAH,2024
228,228228,35,JAWA TIMUR,3578,KOTA SURABAYA,"0,59",2024-Q2,TRILIUN RUPIAH,2024
229,229229,35,JAWA TIMUR,3526,KABUPATEN BANGKALAN,"0,04",2024-Q3,TRILIUN RUPIAH,2024
230,230230,35,JAWA TIMUR,3510,KABUPATEN BANYUWANGI,"0,11",2024-Q3,TRILIUN RUPIAH,2024
231,231231,35,JAWA TIMUR,3505,KABUPATEN BLITAR,"0,05",2024-Q3,TRILIUN RUPIAH,2024
232,232232,35,JAWA TIMUR,3522,KABUPATEN BOJONEGORO,"0,07",2024-Q3,TRILIUN RUPIAH,2024
233,233233,35,JAWA TIMUR,3511,KABUPATEN BONDOWOSO,"0,03",2024-Q3,TRILIUN RUPIAH,2024
234,234234,35,JAWA TIMUR,3525,KABUPATEN GRESIK,"0,14",2024-Q3,TRILIUN RUPIAH,2024
235,235235,35,JAWA TIMUR,3509,KABUPATEN JEMBER,"0,16",2024-Q3,TRILIUN RUPIAH,2024
236,236236,35,JAWA TIMUR,3517,KABUPATEN JOMBANG,"0,09",2024-Q3,TRILIUN RUPIAH,2024
237,237237,35,JAWA TIMUR,3506,KABUPATEN KEDIRI,"0,09",2024-Q3,TRILIUN RUPIAH,2024
238,238238,35,JAWA TIMUR,3524,KABUPATEN LAMONGAN,"0,06",2024-Q3,TRILIUN RUPIAH,2024
239,239239,35,JAWA TIMUR,3508,KABUPATEN LUMAJANG,"0,04",2024-Q3,TRILIUN RUPIAH,2024
240,240240,35,JAWA TIMUR,3519,KABUPATEN MADIUN,"0,03",2024-Q3,TRILIUN RUPIAH,2024
241,241241,35,JAWA TIMUR,3520,KABUPATEN MAGETAN,"0,01",2024-Q3,TRILIUN RUPIAH,2024
242,242242,35,JAWA TIMUR,3507,KABUPATEN MALANG,"0,20",2024-Q3,TRILIUN RUPIAH,2024
243,243243,35,JAWA TIMUR,3516,KABUPATEN MOJOKERTO,"0,07",2024-Q3,TRILIUN RUPIAH,2024
244,244244,35,JAWA TIMUR,3518,KABUPATEN NGANJUK,"0,01",2024-Q3,TRILIUN RUPIAH,2024
245,245245,35,JAWA TIMUR,3521,KABUPATEN NGAWI,"0,04",2024-Q3,TRILIUN RUPIAH,2024
246,246246,35,JAWA TIMUR,3501,KABUPATEN PACITAN,"0,02",2024-Q3,TRILIUN RUPIAH,2024
247,247247,35,JAWA TIMUR,3528,KABUPATEN PAMEKASAN,"0,05",2024-Q3,TRILIUN RUPIAH,2024
248,248248,35,JAWA TIMUR,3514,KABUPATEN PASURUAN,"0,13",2024-Q3,TRILIUN RUPIAH,2024
249,249249,35,JAWA TIMUR,3502,KABUPATEN PONOROGO,"0,03",2024-Q3,TRILIUN RUPIAH,2024
